语言ID,说明                       ,CN
主键
ID,Null,Content,,,,,
index,null,string,,,,,
40000,1章1关标题,猛兽山林 1
40001,1章1关描述,灰狼擅长团队协作，一旦形势不妙，它就会呼唤其他野兽的协助！
40002,1章2关标题,猛兽山林 2
40003,1章2关描述,莱奥清楚的知道，被奥若拉的飞刀打中可不是闹着玩的，也许他需要一个更加敦实的英雄。
40004,1章3关标题,岛格村 3
40005,1章3关描述,没完没了的骷髅海战术，也许只能从源头消灭敌人才能拯救村庄了。
40006,1章4关标题,岛格村 4
40007,1章4关描述,没完没了的骷髅海战术，也许只能从源头消灭敌人才能拯救村庄了。
40008,1章5关标题,浅滩密林 5
40009,1章5关描述,察觉到森林中的呼叫声后，莱奥发现一名少女正遭遇危险，虽然面对未知的敌人，莱奥还是坚定地拿起了大剑！
40010,1章6关标题,浅滩密林 6
40011,1章6关描述,面对眼前这个黄毛小子，巫妖毫不留情地开始凝聚黑暗之力，向其发起进攻！
40012,1章7关标题,公会商船 7
40013,1章7关描述,这些公会士兵就像是一支训练有素的军队，只要骑士长官一声令下，他们就觉得自己充满了力量！
40014,1章8关标题,公会领地 8
40015,1章8关描述,罗迪亚克双手持剑插向了地面，随后一道圣光从天而降！
40016,1章9关标题,蜘蛛森林 9
40017,1章9关描述,一只大熊怪突然挡在了莱奥和艾丽卡他们前面，艾丽卡在莱奥身前放置了一个传送门协助作战！
40018,1章10关标题,蛛魔巢穴 10
40019,1章10关描述,方才莱奥等人与盗墓贼的打斗惊动了蛛魔斯派克，被打扰了午睡的蛛魔决定要把这些不速之客通通吃掉！


40036,2章1关标题,王城街道 1
40037,2章1关描述,物理攻击对于这些身手敏捷的刺客们可能不太奏效了，是时候让他们见识魔法的威力了！
40038,2章2关标题,王城街道 2
40039,2章2关描述,物理攻击对于这些身手敏捷的刺客们可能不太奏效了，是时候让他们见识魔法的威力了！
40040,2章3关标题,堕落公会 3
40041,2章3关描述,“我总听到有东西摇摇欲坠的声音。”“是上面！快躲开！”
40042,2章4关标题,堕落公会 4
40043,2章4关描述,“我总听到有东西摇摇欲坠的声音。”“是上面！快躲开！”
40044,2章5关标题,选拔考场 5
40045,2章5关描述,小鹿的群星坠落需要较长的施法时间，趁着这段时间接近并且打倒她！
40046,2章6关标题,选拔考场 6
40047,2章6关描述,下定决心的奥若拉甚至在飞刀上涂了毒药，除此之外，她还把灰狼之王也请来了。
40048,2章7关标题,最终试炼 7
40049,2章7关描述,原地转了那么多圈，普通人都会觉得晕头转向，更别说身材魁梧的海巨人了。
40050,2章8关标题,最终试炼 8
40051,2章8关描述,“我一个人就能把你们全打飞！”“吹牛都不打草稿的吗啊啊啊啊啊啊！！！”勇士埃迪第一次觉得在天上飞，并不是什么好事。
40052,2章9关标题,学院公会 9
40053,2章9关描述,狭路相逢勇者胜！想要获胜就必须坚守战线！
40054,2章10关标题,学院公会 10
40055,2章10关描述,狭路相逢勇者胜！想要获胜就必须坚守战线！同时还要面对雷光约修亚的强力雷电魔法！


40072,3章1关标题,魔法森林 1
40073,3章1关描述,好奇心害死猫，不要期待着那些血红色传送门会出来什么有趣的东西，尽早破坏掉才是万全之策！
40074,3章2关标题,魔法森林 2
40075,3章2关描述,好奇心害死猫，不要期待着那些血红色传送门会出来什么有趣的东西，尽早破坏掉才是万全之策！
40076,3章3关标题,集训场 3
40077,3章3关描述,圣骑士们流传着一种厚积薄发的战斗技巧，积蓄力量一击击溃敌人是他们常用的战术，先发制人，速战速决吧！
40078,3章4关标题,集训场 4
40079,3章4关描述,圣骑士们流传着一种厚积薄发的战斗技巧，积蓄力量一击击溃敌人是他们常用的战术，先发制人，速战速决吧！
40080,3章5关标题,实验室 5
40081,3章5关描述,实验室泄露的试剂会使得敌人变得狂躁嗜血，除此之外，狂野的牛头人还可以借助先祖之魂复活！
40082,3章6关标题,实验室 6
40083,3章6关描述,实验室泄露的试剂会使得敌人变得狂躁嗜血，除此之外，狂野的牛头人还可以借助先祖之魂复活！
40084,3章7关标题,学院本部 7
40085,3章7关描述,“深渊会吞噬掉亡者的灵魂，却会赋予亡者新生？”勇士埃迪看着深渊的警示牌，一时摸不着头脑。
40086,3章8关标题,学院本部 8
40087,3章8关描述,“深渊会吞噬掉亡者的灵魂，却会赋予亡者新生？”勇士埃迪看着深渊的警示牌，一时摸不着头脑。
40088,3章9关标题,荆棘森林 9
40089,3章9关描述,树魔是荆棘森林的主人，你要么成为它要汲取的养分，要么变成它的傀儡！
40090,3章10关标题,荆棘森林 10
